fa,bp,pe,ce,ra,tiro,distancia
90,200,150,230,120,t1,92
90,200,150,230,120,t2,90
90,200,150,230,120,t3,94
90,200,150,230,120,t4,"95,5"
90,200,200,230,120,t1,"110,5"
90,200,200,230,120,t2,104
90,200,200,230,120,t3,107
90,200,200,230,120,t4,105
90,200,150,300,120,t1,128
90,200,150,300,120,t2,133
90,200,150,300,120,t3,130
90,200,150,300,120,t4,129
90,200,200,300,120,t1,146
90,200,200,300,120,t2,145
90,200,200,300,120,t3,147
90,200,200,300,120,t4,147
90,200,150,230,150,t1,140
90,200,150,230,150,t2,143
90,200,150,230,150,t3,143
90,200,150,230,150,t4,141
90,200,200,230,150,t1,160
90,200,200,230,150,t2,"162,5"
90,200,200,230,150,t3,158
90,200,200,230,150,t4,154
90,200,150,300,150,t1,197
90,200,150,300,150,t2,193
90,200,150,300,150,t3,191
90,200,150,300,150,t4,189
90,200,200,300,150,t1,220
90,200,200,300,150,t2,225
90,200,200,300,150,t3,230
90,200,200,300,150,t4,216
